날짜,교통량
20150102,0.432
20150103,0.446
20150104,0.384
20150105,0.455
20150106,0.484
20150107,0.479
20150108,0.478
20150109,0.492
20150110,0.496
20150111,0.406
20150112,0.456
20150113,0.46
20150114,0.453
20150115,0.464
20150116,0.466
20150117,0.466
20150118,0.373
20150124,0.474
20150127,0.449
20150128,0.436
20150129,0.434
20150130,0.455
20150131,0.429
20150201,0.353
20150202,0.412
20150203,0.434
20150204,0.441
20150205,0.444
20150206,0.456
20150207,0.45
20150208,0.351
20150209,0.387
20150210,0.409
20150211,0.431
20150212,0.44
20150213,0.445
20150214,0.433
20150215,0.359
20150216,0.413
20150217,0.421
20150221,0.311
20150222,0.308
20150223,0.408
20150224,0.431
20150225,0.439
20150226,0.438
20150227,0.454
20150228,0.451
20150301,0.327
20150302,0.405
20150303,0.411
20150304,0.437
20150305,0.435
20150306,0.449
20150307,0.419
20150308,0.368
20150309,0.418
20150310,0.425
20150311,0.239
20150312,0.426
20150313,0.0
20150316,0.326
20150317,0.421
20150318,0.414
20150319,0.418
20150320,0.444
20150321,0.454
20150322,0.373
20150323,0.415
20150324,0.426
20150325,0.431
20150326,0.437
20150327,0.43
20150328,0.442
20150329,0.369
20150330,0.402
20150331,0.411
20150401,0.422
20150402,0.418
20150403,0.434
20150404,0.436
20150405,0.355
20150406,0.41
20150407,0.423
20150408,0.423
20150409,0.428
20150410,0.439
20150411,0.442
20150412,0.372
20150413,0.403
20150414,0.403
20150415,0.427
20150416,0.457
20150417,0.484
20150418,0.475
20150419,0.386
20150420,0.444
20150421,0.472
20150422,0.471
20150423,0.472
20150424,0.481
20150425,0.484
20150426,0.413
20150427,0.453
20150428,0.467
20150429,0.47
20150430,0.485
20150501,0.454
20150502,0.465
20150503,0.394
20150504,0.484
20150506,0.481
20150507,0.462
20150508,0.437
20150509,0.423
20150510,0.362
20150511,0.428
20150512,0.477
20150513,0.503
20150514,0.507
20150515,0.518
20150516,0.497
20150517,0.431
20150518,0.49
20150519,0.498
20150520,0.494
20150521,0.503
20150522,0.528
20150523,0.508
20150524,0.42
20150526,0.497
20150527,0.502
20150528,0.501
20150529,0.516
20150530,0.494
20150531,0.42
20150601,0.479
20150602,0.495
20150603,0.5
20150604,0.494
20150605,0.5
20150607,0.373
20150608,0.463
20150609,0.481
20150610,0.488
20150611,0.485
20150612,0.497
20150613,0.475
20150614,0.384
20150615,0.464
20150616,0.487
20150617,0.487
20150618,0.49
20150619,0.507
20150620,0.457
20150621,0.404
20150622,0.467
20150623,0.476
20150624,0.484
20150625,0.489
20150626,0.494
20150627,0.487
20150628,0.41
20150629,0.465
20150630,0.479
20150701,0.476
20150702,0.478
20150703,0.491
20150704,0.478
20150705,0.403
20150706,0.461
20150707,0.488
20150708,0.482
20150709,0.487
20150710,0.493
20150711,0.487
20150712,0.377
20150713,0.449
20150714,0.489
20150715,0.488
20150716,0.494
20150717,0.511
20150718,0.485
20150719,0.414
20150720,0.47
20150721,0.482
20150722,0.484
20150723,0.478
20150724,0.475
20150725,0.032
20150727,0.394
20150728,0.467
20150729,0.465
20150730,0.465
20150731,0.476
20150801,0.446
20150802,0.378
20150803,0.429
20150804,0.45
20150805,0.447
20150806,0.445
20150807,0.463
20150808,0.453
20150809,0.38
20150810,0.426
20150811,0.46
20150812,0.439
20150813,0.468
20150814,0.461
20150816,0.38
20150817,0.439
20150818,0.452
20150819,0.454
20150820,0.452
20150821,0.464
20150822,0.457
20150823,0.39
20150824,0.433
20150825,0.428
20150826,0.441
20150827,0.447
20150828,0.459
20150829,0.476
20150830,0.396
20150831,0.429
20150901,0.445
20150902,0.444
20150903,0.443
20150904,0.458
20150905,0.472
20150906,0.405
20150907,0.431
20150908,0.448
20150909,0.462
20150910,0.463
20150911,0.465
20150912,0.484
20150913,0.415
20150914,0.445
20150915,0.457
20150916,0.459
20150917,0.468
20150918,0.479
20150919,0.496
20150920,0.42
20150921,0.454
20150922,0.447
20150923,0.439
20150924,0.455
20150925,0.442
20150930,0.407
20151001,0.411
20151002,0.43
20151004,0.363
20151005,0.41
20151006,0.427
20151007,0.439
20151008,0.44
20151010,0.409
20151011,0.363
20151012,0.409
20151013,0.421
20151014,0.418
20151015,0.424
20151016,0.431
20151017,0.446
20151018,0.379
20151019,0.4
20151020,0.417
20151021,0.424
20151022,0.419
20151023,0.424
20151024,0.44
20151025,0.374
20151026,0.383
20151027,0.401
20151028,0.431
20151029,0.445
20151030,0.455
20151031,0.456
20151101,0.395
20151102,0.417
20151103,0.432
20151104,0.429
20151105,0.438
20151106,0.457
20151107,0.43
20151108,0.378
20151109,0.417
20151110,0.433
20151111,0.443
20151112,0.436
20151113,0.454
20151114,0.454
20151115,0.429
20151116,0.442
20151117,0.463
20151118,0.45
20151119,0.453
20151120,0.501
20151121,0.526
20151122,0.438
20151123,0.47
20151124,0.501
20151125,0.465
20151126,0.48
20151127,0.481
20151128,0.477
20151129,0.408
20151130,0.485
20151201,0.499
20151202,0.486
20151203,0.443
20151204,0.482
20151205,0.481
20151206,0.415
20151207,0.486
20151208,0.514
20151209,0.516
20151210,0.512
20151211,0.518
20151212,0.5
20151213,0.422
20151214,0.473
20151215,0.493
20151216,0.491
20151217,0.484
20151218,0.469
20151219,0.481
20151220,0.395
20151221,0.45
20151222,0.483
20151223,0.492
20151224,0.48
20151226,0.432
20151227,0.398
20151228,0.46
20151229,0.481
20151230,0.484
20151231,0.482
20160101,0.538
20160102,0.64
20160103,0.571
20160104,0.727
20160105,0.742
20160106,0.732
20160107,0.759
20160108,0.771
20160109,0.734
20160110,0.634
20160111,0.758
20160112,0.76
20160113,0.747
20160114,0.76
20160115,0.796
20160116,0.737
20160117,0.637
20160118,0.746
20160119,0.743
20160120,0.756
20160121,0.782
20160122,0.818
20160123,0.742
20160124,0.587
20160125,0.755
20160126,0.749
20160127,0.784
20160128,0.774
20160129,0.799
20160130,0.746
20160131,0.628
20160201,0.774
20160202,0.815
20160203,0.828
20160204,0.832
20160205,0.837
20160206,0.704
20160207,0.59
20160208,0.612
20160209,0.536
20160210,0.542
20160211,0.775
20160212,0.788
20160213,0.739
20160214,0.646
20160215,0.814
20160216,0.799
20160217,0.833
20160218,0.833
20160219,0.851
20160220,0.808
20160221,0.698
20160222,0.818
20160223,0.835
20160224,0.84
