날짜,교통량,풍속,강우량,북,동,남,서,미세먼지
20150102,0.432,0.438,0.0,0.91,0,0,0.09,0.0962963
20150103,0.446,0.19,0.0,0.36,0.64,0,0,0.0962963
20150104,0.384,0.342,0.0,0.62,0.38,0,0,0.1481481
20150105,0.455,0.431,0.0,0.67,0.33,0,0,0.1703704
20150106,0.484,0.662,0.021,0.86,0,0,0.14,0.2962963
20150107,0.479,0.362,0.0,0.87,0,0,0.13,0.1185185
20150108,0.478,0.298,0.0,0.91,0,0,0.09,0.0888889
20150109,0.492,0.257,0.0,0.89,0,0,0.11,0.1481481
20150110,0.496,0.371,0.0,0.91,0,0,0.09,0.2
20150111,0.406,0.673,0.0,0.84,0,0,0.16,0.1481481
20150112,0.456,0.247,0.0,0.84,0,0,0.16,0.162963
20150113,0.46,0.302,0.0,0.49,0.51,0,0,0.1703704
20150114,0.453,0.254,0.0,0.36,0.64,0,0,0.2296296
20150115,0.464,0.347,0.0,0.96,0,0,0.04,0.2814815
20150116,0.466,0.635,0.0,0.96,0,0,0.04,0.2444444
20150117,0.466,0.583,0.0,0.96,0,0,0.04,0.3333333
20150118,0.373,0.381,0.028,0.56,0.44,0,0,0.1259259
20150124,0.474,0.29,0.0,0.89,0,0,0.11,0.1851852
20150127,0.449,0.548,0.0,0.93,0,0,0.07,0.1925926
20150128,0.436,0.429,0.0,0.91,0,0,0.09,0.1851852
20150129,0.434,0.358,0.0,0.64,0.36,0,0,0.1333333
20150130,0.455,0.494,0.0,0.86,0,0,0.14,0.1925926
20150131,0.429,0.375,0.0,0.91,0,0,0.09,0.1407407
20150201,0.353,0.317,0.0,0.89,0,0,0.11,0.1407407
20150202,0.412,0.244,0.0,0.36,0.64,0,0,0.1259259
20150203,0.434,0.387,0.0,0.91,0,0,0.09,0.1703704
20150204,0.441,0.302,0.0,0.91,0,0,0.09,0.2444444
20150205,0.444,0.397,0.0,0.91,0,0,0.09,0.3481481
20150206,0.456,0.325,0.0,0.84,0,0,0.16,0.3851852
20150207,0.45,0.535,0.0,0.91,0,0,0.09,0.2148148
20150208,0.351,0.753,0.0,0.84,0,0,0.16,0.1851852
20150209,0.387,0.474,0.0,0,0,0.91,0.09,0.1111111
20150210,0.409,0.452,0.0,0,0,0.8,0.2,0.1259259
20150211,0.431,0.24,0.0,0,0,0.89,0.11,0.3481481
20150212,0.44,0.66,0.0,0.91,0,0,0.09,0.3333333
20150213,0.445,0.377,0.0,0.96,0,0,0.04,0.0962963
20150214,0.433,0.0,0.0,0.47,0,0,0.53,0.1185185
20150215,0.359,0.542,0.0,0.7,0.3,0,0,0.2222222
