날짜,북,동,남,서,강수량,풍속
2015-01-01,0.91,0,0,0.09,0.0,0.675
2015-01-02,0.91,0,0,0.09,0.0,0.438
2015-01-03,0.36,0.64,0,0,0.0,0.19
2015-01-04,0.62,0.38,0,0,0.0,0.342
2015-01-05,0.67,0.33,0,0,0.0,0.431
2015-01-06,0.86,0,0,0.14,0.021,0.662
2015-01-07,0.87,0,0,0.13,0.0,0.362
2015-01-08,0.91,0,0,0.09,0.0,0.298
2015-01-09,0.89,0,0,0.11,0.0,0.257
2015-01-10,0.91,0,0,0.09,0.0,0.371
2015-01-11,0.84,0,0,0.16,0.0,0.673
2015-01-12,0.84,0,0,0.16,0.0,0.247
2015-01-13,0.49,0.51,0,0,0.0,0.302
2015-01-14,0.36,0.64,0,0,0.0,0.254
2015-01-15,0.96,0,0,0.04,0.0,0.347
2015-01-16,0.96,0,0,0.04,0.0,0.635
2015-01-17,0.96,0,0,0.04,0.0,0.583
2015-01-18,0.56,0.44,0,0,0.028,0.381
2015-01-19,0.97,0,0,0.03,0.0,0.512
2015-01-20,0.32,0.68,0,0,0.0,0.234
2015-01-21,0.69,0.31,0,0,0.0,0.315
2015-01-22,0.9,0,0,0.1,0.0,0.188
2015-01-23,0.62,0.38,0,0,0.0,0.325
2015-01-24,0.89,0,0,0.11,0.0,0.29
2015-01-25,0.71,0.29,0,0,0.021,0.525
2015-01-26,0.88,0,0,0.12,0.003,0.437
2015-01-27,0.93,0,0,0.07,0.0,0.548
2015-01-28,0.91,0,0,0.09,0.0,0.429
2015-01-29,0.64,0.36,0,0,0.0,0.358
2015-01-30,0.86,0,0,0.14,0.0,0.494
2015-01-31,0.91,0,0,0.09,0.0,0.375
2015-02-01,0.89,0,0,0.11,0.0,0.317
2015-02-02,0.36,0.64,0,0,0.0,0.244
2015-02-03,0.91,0,0,0.09,0.0,0.387
2015-02-04,0.91,0,0,0.09,0.0,0.302
2015-02-05,0.91,0,0,0.09,0.0,0.397
2015-02-06,0.84,0,0,0.16,0.0,0.325
2015-02-07,0.91,0,0,0.09,0.0,0.535
2015-02-08,0.84,0,0,0.16,0.0,0.753
2015-02-09,0,0,0.91,0.09,0.0,0.474
2015-02-10,0,0,0.8,0.2,0.0,0.452
2015-02-11,0,0,0.89,0.11,0.0,0.24
2015-02-12,0.91,0,0,0.09,0.0,0.66
2015-02-13,0.96,0,0,0.04,0.0,0.377
2015-02-14,0.47,0,0,0.53,0.0,0.0
2015-02-15,0.7,0.3,0,0,0.0,0.542
2015-02-16,0.69,0.31,0,0,0.073,0.569
2015-02-17,0.93,0,0,0.07,0.003,0.528
2015-02-18,0.91,0,0,0.09,0.0,0.382
2015-02-19,0.93,0,0,0.07,0.0,0.107
2015-02-20,0.67,0.33,0,0,0.0,0.327
2015-02-21,0.73,0.27,0,0,0.055,0.505
2015-02-22,0,0,0.93,0.07,0.017,0.609
2015-02-23,0.87,0,0,0.13,0.0,0.382
2015-02-24,0.92,0,0,0.08,0.0,0.355
2015-02-25,0.37,0.63,0,0,0.003,0.241
2015-02-26,0,0,0,1,0.003,0.719
2015-02-27,0.91,0,0,0.09,0.0,0.685
2015-02-28,0.46,0.54,0,0,0.0,0.312
2015-03-01,0.96,0,0,0.04,0.0,0.479
2015-03-02,0.38,0.62,0,0,0.0,0.294
2015-03-03,0,0,0.36,0.64,0.038,0.461
2015-03-04,0.89,0,0,0.11,0.0,0.767
2015-03-05,0.93,0,0,0.07,0.0,0.302
2015-03-06,0.91,0,0,0.09,0.0,0.398
2015-03-07,0.93,0,0,0.07,0.0,0.334
2015-03-08,0.4,0.6,0,0,0.0,0.27
2015-03-09,0.87,0,0,0.13,0.0,0.929
2015-03-10,0.82,0,0,0.18,0.0,0.874
2015-03-11,0,0,0.87,0.13,0.0,0.576
2015-03-12,0,0,0.87,0.13,0.0,0.489
2015-03-13,0.91,0,0,0.09,0.0,0.407
2015-03-14,0.98,0,0,0.02,0.0,0.511
2015-03-15,0.91,0,0,0.09,0.0,0.414
2015-03-16,0.87,0,0,0.13,0.0,0.27
2015-03-17,0.41,0.59,0,0,0.0,0.3
2015-03-18,0.7,0.3,0,0,0.01,0.693
2015-03-19,0.73,0.27,0,0,0.0,0.325
2015-03-20,0.91,0,0,0.09,0.0,0.581
2015-03-21,0.82,0,0,0.18,0.0,0.381
2015-03-22,0.89,0,0,0.11,0.0,0.512
2015-03-23,0.82,0,0,0.18,0.0,0.552
2015-03-24,0,0,0,1,0.0,0.428
2015-03-25,0,0,0,1,0.0,0.438
2015-03-26,0,0,0.98,0.02,0.0,0.579
2015-03-27,0.94,0,0,0.06,0.0,0.404
2015-03-28,0.93,0,0,0.07,0.0,0.435
2015-03-29,0.89,0,0,0.11,0.0,0.295
2015-03-30,0.92,0,0,0.08,0.0,0.482
2015-03-31,0.62,0.38,0,0,0.017,0.402
2015-04-01,0.69,0.31,0,0,0.017,0.682
2015-04-02,0.71,0.29,0,0,0.194,0.65
2015-04-03,0,0,0.53,0.47,0.024,0.642
2015-04-04,0.71,0.29,0,0,0.0,0.729
2015-04-05,0.68,0.32,0,0,0.003,0.431
2015-04-06,0.8,0,0,0.2,0.0,0.516
2015-04-07,0.47,0.53,0,0,0.0,0.437
2015-04-08,0.58,0.42,0,0,0.0,0.432
2015-04-09,0.51,0.49,0,0,0.0,0.245
2015-04-10,0,0,0.91,0.09,0.0,0.585
2015-04-11,0,0,0.91,0.09,0.0,0.501
2015-04-12,0.69,0.31,0,0,0.0,0.608
2015-04-13,0.71,0.29,0,0,0.045,0.882
2015-04-14,0.67,0.33,0,0,0.073,0.449
2015-04-15,0,0,0.49,0.51,0.007,0.561
2015-04-16,0,0,0.69,0.31,0.048,0.618
2015-04-17,0,0,0.6,0.4,0.0,0.588
2015-04-18,0.7,0.3,0,0,0.0,0.352
2015-04-19,0.71,0.29,0,0,0.083,0.639
2015-04-20,0.47,0.53,0,0,0.038,0.559
2015-04-21,0,0,0.84,0.16,0.0,0.378
2015-04-22,0.91,0,0,0.09,0.0,0.495
2015-04-23,0,0,0.6,0.4,0.0,0.605
2015-04-24,0.89,0,0,0.11,0.0,0.441
2015-04-25,0.94,0,0,0.06,0.0,0.488
2015-04-26,0.53,0.47,0,0,0.0,0.295
2015-04-27,0,0,0.5,0.5,0.0,0.498
2015-04-28,0.49,0.51,0,0,0.0,0.314
2015-04-29,0.71,0.29,0,0,0.024,0.534
2015-04-30,0.53,0.47,0,0,0.0,0.292
2015-05-01,0.39,0.61,0,0,0.0,0.22
2015-05-02,0,0,0.99,0.01,0.003,0.392
2015-05-03,0.53,0.47,0,0,0.024,0.364
2015-05-04,0,0,0.87,0.13,0.0,0.488
2015-05-05,0,0,0.62,0.38,0.0,0.573
2015-05-06,0.62,0.38,0,0,0.0,0.261
2015-05-07,0.51,0.49,0,0,0.0,0.19
2015-05-08,0.92,0,0,0.08,0.0,0.381
2015-05-09,0.91,0,0,0.09,0.0,0.382
2015-05-10,0.93,0,0,0.07,0.0,0.392
2015-05-11,0.67,0.33,0,0,0.097,0.368
2015-05-12,0,0,0.58,0.42,0.066,1.0
2015-05-13,0,0,0.56,0.44,0.0,0.806
2015-05-14,0,0,0.42,0.58,0.0,0.514
2015-05-15,0.91,0,0,0.09,0.0,0.334
2015-05-16,0,0,0.91,0.09,0.0,0.15
2015-05-17,0.84,0,0,0.16,0.0,0.34
2015-05-18,0.42,0.58,0,0,0.0,0.252
2015-05-19,0,0,0.6,0.4,0.007,0.585
2015-05-20,0.91,0,0,0.09,0.0,0.377
2015-05-21,0,0,0.6,0.4,0.0,0.709
2015-05-22,0,0,0.96,0.04,0.0,0.491
2015-05-23,0,0,0.84,0.16,0.0,0.541
2015-05-24,0,0,0.98,0.02,0.0,0.431
2015-05-25,0,0,0.91,0.09,0.0,0.345
2015-05-26,0.98,0,0,0.02,0.0,0.401
2015-05-27,0.91,0,0,0.09,0.0,0.285
2015-05-28,0.67,0.33,0,0,0.0,0.26
2015-05-29,0.96,0,0,0.04,0.0,0.504
2015-05-30,0,0,0.91,0.09,0.0,0.415
2015-05-31,0,0,0.76,0.24,0.0,0.35
2015-06-01,0.91,0,0,0.09,0.0,0.424
2015-06-02,0.9,0,0,0.1,0.0,0.632
2015-06-03,0.68,0,0,0.32,0.0,0.562
2015-06-04,0.99,0,0,0.01,0.0,0.387
2015-06-06,0.49,0.51,0,0,0.0,0.262
2015-06-07,0.91,0,0,0.09,0.0,0.35
2015-06-08,0.82,0,0,0.18,0.0,0.405
2015-06-09,0.93,0,0,0.07,0.0,0.33
2015-06-10,0.78,0,0,0.22,0.0,0.364
2015-06-11,0.69,0.31,0,0,0.052,0.351
2015-06-12,0,0,0.6,0.4,0.003,0.576
2015-06-13,0,0,0.62,0.38,0.003,0.563
2015-06-14,0.91,0,0,0.09,0.107,0.415
2015-06-15,0.91,0,0,0.09,0.0,0.402
2015-06-16,0.93,0,0,0.07,0.0,0.347
2015-06-17,0.62,0.38,0,0,0.066,0.31
2015-06-18,0.67,0.33,0,0,0.021,0.469
2015-06-19,0.76,0.24,0,0,0.0,0.429
2015-06-20,0.67,0.33,0,0,0.308,0.261
2015-06-22,0,0,0.93,0.07,0.0,0.468
2015-06-23,0.89,0,0,0.11,0.0,0.385
2015-06-24,0,0,0.96,0.04,0.0,0.411
2015-06-25,0.64,0.36,0,0,0.014,0.358
2015-06-26,0.4,0.6,0,0,0.087,0.466
2015-06-27,0.64,0.36,0,0,0.0,0.352
2015-06-28,0,0,0.96,0.04,0.0,0.476
2015-06-29,0.91,0,0,0.09,0.0,0.422
2015-06-30,0.91,0,0,0.09,0.017,0.264
2015-07-01,0,0,0.8,0.2,0.003,0.512
2015-07-02,0,0,0.33,0.67,0.0,0.536
2015-07-03,0.87,0,0,0.13,0.0,0.415
2015-07-04,0.49,0.51,0,0,0.0,0.345
2015-07-05,0.92,0,0,0.08,0.0,0.307
2015-07-06,0.9,0,0,0.1,0.0,0.445
2015-07-07,0,0.51,0.49,0,0.0,0.332
2015-07-08,0.67,0.33,0,0,0.003,0.592
2015-07-09,0.71,0.29,0,0,0.0,0.506
2015-07-10,0.6,0.4,0,0,0.0,0.291
2015-07-11,0.62,0.38,0,0,0.0,0.24
2015-07-12,0.71,0.29,0,0,0.201,0.603
2015-07-13,0,0,0.56,0.44,0.069,0.827
2015-07-14,0,0,0.56,0.44,0.0,0.555
2015-07-15,0.68,0.32,0,0,0.0,0.635
2015-07-16,0.73,0.27,0,0,0.0,0.712
2015-07-17,0.67,0.33,0,0,0.0,0.506
2015-07-18,0.67,0.33,0,0,0.003,0.355
2015-07-19,0.67,0.33,0,0,0.035,0.297
2015-07-20,0.64,0.36,0,0,0.0,0.347
2015-07-21,0.69,0.31,0,0,0.076,0.235
2015-07-22,0.98,0,0,0.02,0.007,0.254
2015-07-23,0,0,0.33,0.67,0.111,0.526
2015-07-24,0,0,0.4,0.6,0.183,0.327
2015-07-25,0,0,0.49,0.51,0.554,0.469
2015-07-26,0,0,0.36,0.64,0.28,0.586
2015-07-27,0.83,0,0,0.17,0.01,0.377
2015-07-28,0.84,0,0,0.16,0.0,0.254
2015-07-29,0,0,0.31,0.69,0.028,0.482
